1.534;-29.55;255;0.1;0.2
1.544;-27;255;0.1;0.19
1.554;-24.15;285;0.1;0.17
1.564;-21.15;300;0.1;0.15
1.573;-18.45;270;0.1;0.12
1.584;-15;345;0.11;0.13
1.594;-11.7;330;0.11;0.09
1.604;-8.25;345;0.11;0.08
1.614;-4.8;345;0.11;0.05
1.624;-1.35;345;0.11;0.03
1.634;2.25;360;0.11;0
1.643;5.55;330;0.11;-0.01
1.654;9.6;405;0.11;-0.04
1.664;13.35;375;0.11;-0.06
1.674;16.95;360;0.11;-0.08
1.684;20.55;360;0.11;-0.1
1.694;24.15;360;0.1;-0.12
1.704;27.75;360;0.1;-0.14
1.714;31.2;345;0.1;-0.15
1.724;34.65;345;0.1;-0.18
1.734;37.8;315;0.1;-0.19
1.744;40.95;315;0.1;-0.21
1.754;44.1;315;0.09;-0.22
1.764;46.95;285;0.09;-0.24
1.774;49.65;270;0.09;-0.25
1.784;52.2;255;0.09;-0.27
1.794;54.6;240;0.08;-0.28
1.804;56.85;225;0.08;-0.29
1.814;58.8;195;0.08;-0.3
1.824;60.6;180;0.07;-0.31
1.834;62.25;165;0.07;-0.32
1.843;63.45;120;0.07;-0.29
1.854;64.8;135;0.06;-0.36
1.864;65.7;90;0.06;-0.33
1.874;66.45;75;0.06;-0.33
1.884;66.9;45;0.05;-0.34
1.894;67.2;30;0.05;-0.34
1.904;67.35;15;0.05;-0.34
1.913;67.2;-15;0.04;-0.3
1.924;66.75;-45;0.04;-0.36
1.934;66.3;-45;0.04;-0.32
1.944;65.55;-75;0.03;-0.32
1.954;64.5;-105;0.03;-0.3
1.964;63.15;-135;0.03;-0.3
1.974;61.8;-135;0.03;-0.29
1.984;60;-180;0.02;-0.28
1.994;58.05;-195;0.02;-0.26
2.004;55.8;-225;0.02;-0.25
2.014;53.4;-240;0.02;-0.23
2.024;50.7;-270;0.01;-0.21
2.034;47.85;-285;0.01;-0.2
2.044;44.85;-300;0.01;-0.19
2.054;41.55;-330;0.01;-0.17
2.064;38.1;-345;0.01;-0.15
2.074;34.5;-360;0.01;-0.13
2.084;30.75;-375;0;-0.12
2.094;26.7;-405;0;-0.09
2.104;22.65;-405;0;-0.07
2.114;18.45;-420;0;-0.05
2.124;13.95;-450;0;-0.03
2.134;9.45;-450;0;0
2.144;4.95;-450;0;0.01
2.154;0.3;-465;0;0.03
2.164;-4.35;-465;0;0.06
2.174;-9.15;-480;0;0.08
2.184;-13.8;-465;0;0.1
2.194;-18.6;-480;0.01;0.11
2.204;-23.25;-465;0.01;0.13
2.214;-27.9;-465;0.01;0.15
2.224;-32.4;-450;0.01;0.17
2.234;-36.9;-450;0.01;0.18
2.244;-41.1;-420;0.01;0.21
2.254;-45.3;-420;0.02;0.21
2.264;-49.35;-405;0.02;0.23
2.274;-53.25;-390;0.02;0.25
2.284;-57;-375;0.02;0.26
2.294;-60.45;-345;0.03;0.27
2.303;-63.45;-300;0.03;0.25
2.314;-66.9;-345;0.03;0.32
2.324;-69.9;-300;0.04;0.3
2.334;-72.45;-255;0.04;0.31
2.344;-75;-255;0.04;0.32
2.354;-77.1;-210;0.04;0.33
2.364;-79.2;-210;0.05;0.32
2.374;-80.85;-165;0.05;0.33
2.383;-82.2;-135;0.05;0.3
2.394;-83.55;-135;0.06;0.36
2.404;-84.6;-105;0.06;0.34
2.414;-85.35;-75;0.06;0.32
2.424;-85.8;-45;0.07;0.33
2.434;-86.1;-30;0.07;0.32
2.444;-86.1;0;0.07;0.31
2.454;-85.95;15;0.08;0.3
2.463;-85.65;30;0.08;0.27
2.474;-84.9;75;0.08;0.32
2.484;-84;90;0.09;0.27
2.494;-82.8;120;0.09;0.26
2.504;-81.3;150;0.09;0.25
2.514;-79.65;165;0.09;0.23
2.524;-77.7;195;0.1;0.21
2.534;-75.6;210;0.1;0.21
2.544;-73.2;240;0.1;0.18
2.554;-70.5;270;0.1;0.17
2.564;-67.5;300;0.1;0.16
2.574;-64.5;300;0.1;0.13
2.584;-61.05;345;0.1;0.12
2.594;-57.45;360;0.11;0.11
2.604;-53.7;375;0.11;0.1
2.614;-49.65;405;0.11;0.08
2.624;-45.45;420;0.11;0.08
2.634;-40.95;450;0.11;0.08
2.644;-36.45;450;0.11;0.07
2.654;-31.8;465;0.11;0.06
2.664;-26.85;495;0.11;0.06
2.674;-21.9;495;0.11;0.05
2.684;-16.8;510;0.11;0.04
2.694;-11.7;510;0.11;0.04
2.704;-6.45;525;0.11;0.03
2.714;-1.2;525;0.11;0.03
2.724;4.05;525;0.11;0.03
2.734;9.3;525;0.11;0.02
2.744;14.55;525;0.11;0.01
2.754;19.65;510;0.11;0.01
2.763;24.3;465;0.11;0.01
2.774;29.7;540;0.11;0
2.784;34.65;495;0.11;0
2.794;39.3;465;0.11;0
2.804;43.95;465;0.11;0
2.814;48.3;435;0.11;0
2.823;52.2;390;0.11;0
2.834;56.55;435;0.11;0
2.844;60.45;390;0.11;0
2.854;64.05;360;0.11;0
2.864;67.35;330;0.11;0
2.874;70.5;315;0.11;0
2.884;73.5;300;0.11;0
2.894;76.2;270;0.11;0
2.904;78.6;240;0.11;0
2.914;80.85;225;0.11;0
2.924;82.8;195;0.11;0
2.934;84.6;180;0.11;0
2.944;86.1;150;0.11;0
2.954;87.3;120;0.11;0
2.964;88.35;105;0.11;0
2.974;89.1;75;0.11;0
2.984;89.55;45;0.11;0
2.994;89.85;30;0.11;0
3.003;89.85;0;0.11;0
3.014;89.7;-15;0.11;0
3.024;89.25;-45;0.11;0
3.034;88.5;-75;0.11;0
3.044;87.6;-90;0.11;0
3.054;86.4;-120;0.11;0
3.064;85.05;-135;0.11;0
3.074;83.4;-165;0.11;0
3.083;81.75;-165;0.11;0
3.094;79.35;-240;0.11;0
3.104;76.95;-240;0.11;0
3.114;74.4;-255;0.11;0
3.124;71.55;-285;0.11;0
3.134;68.4;-315;0.11;0
3.144;65.1;-330;0.11;0
3.154;61.65;-345;0.11;0
3.164;57.9;-375;0.11;0
3.174;54;-390;0.11;0
3.184;49.8;-420;0.11;0
3.193;45.9;-390;0.11;0
3.203;41.55;-435;0.11;0
3.214;36.45;-510;0.11;0
3.224;31.65;-480;0.11;0
3.236;25.8;-585;0.11;0
3.244;21.75;-405;0.11;0
3.254;16.65;-510;0.11;0
3.264;11.55;-510;0.11;0
3.274;6.3;-525;0.11;0
3.284;1.05;-525;0.11;0
3.294;-4.2;-525;0.11;0
3.304;-9.3;-510;0.11;0
3.314;-14.55;-525;0.11;0
3.324;-19.65;-510;0.11;0
3.334;-24.6;-495;0.11;0
3.344;-29.55;-495;0.11;0
3.354;-34.35;-480;0.11;0
3.364;-39;-465;0.11;0
3.374;-43.5;-450;0.11;0
3.384;-47.85;-435;0.11;0
3.394;-52.05;-420;0.11;0
3.404;-55.95;-390;0.11;0
3.414;-59.7;-375;0.11;0
3.424;-63.3;-360;0.11;0
3.433;-66.3;-300;0.11;0
3.444;-69.6;-330;0.11;0
3.454;-72.6;-300;0.11;0
3.464;-75.15;-255;0.11;0
3.474;-77.55;-240;0.11;0
3.484;-79.8;-225;0.11;0
3.493;-81.45;-165;0.11;0
3.504;-83.4;-195;0.11;0
3.514;-84.75;-135;0.11;0
3.524;-85.95;-120;0.11;0
3.534;-86.85;-90;0.11;0
3.544;-87.6;-75;0.11;0
3.554;-88.05;-45;0.11;0
3.564;-88.35;-30;0.11;0
3.574;-88.35;0;0.11;0
3.584;-88.05;30;0.11;0
3.594;-87.6;45;0.11;0
3.604;-86.85;75;0.11;0
3.614;-85.8;105;0.11;0
3.624;-84.6;120;0.11;0
3.634;-83.1;150;0.11;0
3.644;-81.3;180;0.11;0
3.654;-79.35;195;0.11;0
3.664;-77.25;210;0.11;0
3.674;-74.7;255;0.11;0
3.684;-72;270;0.11;0
3.694;-69.15;285;0.11;0
3.704;-66;315;0.11;0
3.714;-62.7;330;0.11;0
3.724;-59.1;360;0.11;0
3.734;-55.35;375;0.11;0
3.744;-51.45;390;0.11;0
3.754;-47.25;420;0.11;0
3.764;-42.9;435;0.11;0
3.774;-38.4;450;0.11;0
3.784;-33.9;450;0.11;0
3.794;-29.1;480;0.11;0
3.803;-24.6;450;0.11;0
3.814;-19.2;540;0.11;0
3.824;-14.1;510;0.11;0
3.834;-9;510;0.11;0
3.844;-3.9;510;0.11;0
3.854;1.2;510;0.11;0
3.863;5.85;465;0.11;0
3.874;11.55;570;0.11;0
3.884;16.5;495;0.11;0
3.894;21.6;510;0.11;0
3.904;26.4;480;0.11;0
3.914;31.2;480;0.11;0
3.924;35.85;465;0.11;0
3.933;39.9;405;0.11;0
3.944;44.7;480;0.11;0
3.954;48.9;420;0.11;0
3.964;52.95;405;0.11;0
3.974;56.7;375;0.11;0
3.984;60.3;360;0.11;0
3.993;63.3;300;0.11;0
4.004;66.9;360;0.11;0
4.014;69.75;285;0.11;0
4.024;72.45;270;0.11;0
4.034;75;255;0.11;0
4.044;77.1;210;0.11;0
4.054;79.2;210;0.11;0
4.064;80.85;165;0.11;0
4.074;82.5;165;0.11;0
4.084;83.7;120;0.11;0
4.094;84.75;105;0.11;0
4.104;85.5;75;0.11;0
4.114;86.1;60;0.11;0
4.124;86.4;30;0.11;0
4.134;86.4;0;0.11;0
4.144;86.25;-15;0.11;0
4.154;85.8;-45;0.11;0
4.164;85.2;-60;0.11;0
4.174;84.3;-90;0.11;0
4.184;83.1;-120;0.11;0
4.194;81.75;-135;0.11;0
4.204;80.1;-165;0.11;0
4.213;78.45;-165;0.11;0
4.224;76.2;-225;0.11;0
4.234;73.8;-240;0.11;0
4.244;71.25;-255;0.11;0
4.254;68.4;-285;0.11;0
4.263;65.7;-270;0.11;0
4.274;62.25;-345;0.11;0
4.284;58.8;-345;0.11;0
4.294;55.05;-375;0.11;0
4.304;51.15;-390;0.11;0
4.314;47.25;-390;0.11;0
4.324;42.9;-435;0.11;0
4.333;39;-390;0.11;0
4.344;34.05;-495;0.11;0
4.354;29.4;-465;0.11;0
4.364;24.6;-480;0.11;0
4.374;19.8;-480;0.11;0
4.384;14.85;-495;0.11;0
4.394;9.75;-510;0.11;0
4.403;5.25;-450;0.11;0
4.414;-0.3;-555;0.11;0
4.424;-5.4;-510;0.11;0
4.434;-10.5;-510;0.11;0
4.444;-15.45;-495;0.11;0
4.454;-20.4;-495;0.11;0
4.464;-25.2;-480;0.11;0
4.474;-30;-480;0.11;0
4.484;-34.5;-450;0.11;0
4.494;-39;-450;0.11;0
4.504;-43.35;-435;0.11;0
4.514;-47.55;-420;0.11;0
4.523;-51.15;-360;0.11;0
4.534;-55.2;-405;0.11;0
4.544;-58.8;-360;0.11;0
4.554;-62.25;-345;0.11;0
4.564;-65.4;-315;0.11;0
4.574;-68.25;-285;0.11;0
4.584;-70.95;-270;0.11;0
4.594;-73.5;-255;0.11;0
4.604;-75.6;-210;0.11;0
4.614;-77.7;-210;0.11;0
4.624;-79.35;-165;0.11;0
4.634;-81;-165;0.11;0
4.644;-82.2;-120;0.11;0
4.654;-83.25;-105;0.11;0
4.664;-84;-75;0.11;0
4.674;-84.6;-60;0.11;0
4.684;-84.9;-30;0.11;0
4.7;-84.9;0;0.11;0
4.71;-84.6;30;0.11;0
4.714;-84.45;15;0.11;0
4.724;-83.85;60;0.11;0
4.734;-82.8;105;0.11;0
4.744;-81.75;105;0.11;0
4.754;-80.4;135;0.11;0
4.764;-78.75;165;0.11;0
4.774;-76.8;195;0.11;0
4.784;-74.7;210;0.11;0
4.794;-72.45;225;0.11;0
4.804;-69.9;255;0.11;0
4.814;-67.05;285;0.11;0
4.824;-64.05;300;0.11;0
4.834;-60.9;315;0.11;0
4.844;-57.45;345;0.11;0
4.854;-53.7;375;0.11;0
4.864;-49.95;375;0.11;0
4.873;-46.35;360;0.11;0
4.884;-41.7;465;0.11;0
4.894;-37.35;435;0.11;0
4.904;-32.85;450;0.11;0
4.914;-28.35;450;0.11;0
4.924;-23.55;480;0.11;0
4.934;-18.75;480;0.11;0
4.944;-13.8;495;0.11;0
4.954;-8.85;495;0.11;0
4.964;-3.9;495;0.11;0
4.974;1.05;495;0.11;0
4.984;6.15;510;0.11;0
4.994;11.1;495;0.11;0
5.003;15.45;435;0.11;0
5.014;20.85;540;0.11;0
5.023;25.05;420;0.11;0
5.034;30.15;510;0.11;0
5.044;34.65;450;0.11;0
5.054;39;435;0.11;0
5.063;42.9;390;0.11;0
5.074;47.4;450;0.11;0
5.084;51.15;375;0.11;0
5.094;54.9;375;0.11;0
5.104;58.35;345;0.11;0
5.114;61.65;330;0.11;0
5.124;64.65;300;0.11;0
5.134;67.5;285;0.11;0
5.144;70.2;270;0.11;0
5.154;72.45;225;0.11;0
5.164;74.7;225;0.11;0
5.174;76.5;180;0.11;0
5.184;78.15;165;0.11;0
5.194;79.65;150;0.11;0
5.204;80.85;120;0.11;0
5.214;81.75;90;0.11;0
5.224;82.5;75;0.11;0
5.234;82.95;45;0.11;0
5.244;83.25;30;0.11;0
5.254;83.25;0;0.11;0
5.264;82.95;-30;0.11;0
5.274;82.5;-45;0.11;0
5.284;81.75;-75;0.11;0
5.294;80.7;-105;0.11;0
5.303;79.65;-105;0.11;0
5.314;78.15;-150;0.11;0
5.324;76.35;-180;0.11;0
5.334;74.55;-180;0.11;0
5.344;72.3;-225;0.11;0
