0.234;0;0;0;0.02
0.244;-0.15;-15;0;0.06
0.254;-0.45;-30;0;0.09
0.264;-0.75;-30;0;0.12
0.274;-1.05;-30;0;0.15
0.284;-1.5;-45;0.01;0.18
0.294;-1.95;-45;0.01;0.2
0.304;-2.55;-60;0.01;0.21
0.314;-3.15;-60;0.01;0.23
0.324;-3.75;-60;0.02;0.25
0.334;-4.35;-60;0.02;0.26
0.344;-4.8;-45;0.02;0.27
0.354;-5.4;-60;0.02;0.29
0.363;-6;-60;0.03;0.26
0.374;-6.6;-60;0.03;0.33
0.384;-7.2;-60;0.03;0.31
0.394;-7.8;-60;0.04;0.32
0.404;-8.25;-45;0.04;0.32
0.414;-8.85;-60;0.04;0.33
0.423;-9.15;-30;0.04;0.28
0.434;-9.6;-45;0.05;0.3
0.444;-9.75;-15;0.05;0.23
0.454;-9.75;0;0.05;0.2
0.464;-9.75;0;0.05;0.18
0.473;-9.6;15;0.06;0.14
0.484;-9.45;15;0.06;0.15
0.493;-9.15;30;0.06;0.12
0.504;-8.85;30;0.06;0.13
0.514;-8.4;45;0.06;0.1
0.524;-7.95;45;0.06;0.1
0.534;-7.35;60;0.06;0.1
0.544;-6.9;45;0.06;0.08
0.553;-6.3;60;0.06;0.06
0.564;-5.55;75;0.06;0.08
0.574;-4.95;60;0.07;0.06
0.584;-4.35;60;0.07;0.06
0.594;-3.6;75;0.07;0.06
0.604;-2.85;75;0.07;0.05
0.614;-1.95;90;0.07;0.04
0.624;-1.2;75;0.07;0.04
0.633;-0.45;75;0.07;0.03
0.644;0.6;105;0.07;0.03
0.654;1.35;75;0.07;0.03
0.664;2.25;90;0.07;0.02
0.674;3;75;0.07;0.01
0.684;3.9;90;0.07;0.01
0.694;4.65;75;0.07;0
0.704;5.55;90;0.07;0
0.714;6.3;75;0.07;0
0.724;7.2;90;0.07;0
0.734;7.95;75;0.07;0
0.744;8.55;60;0.07;0
0.753;9.3;75;0.07;0
0.764;9.9;60;0.07;0
0.774;10.5;60;0.07;0
0.784;11.1;60;0.07;0
0.794;11.55;45;0.07;0
0.804;12;45;0.07;0
0.814;12.45;45;0.07;0
0.824;12.75;30;0.07;0
0.834;13.05;30;0.07;0
0.843;13.2;15;0.07;0
0.853;13.35;15;0.07;0
0.864;13.5;15;0.07;0
0.874;13.65;15;0.07;0
0.883;13.65;0;0.07;0
0.894;13.65;0;0.07;0
0.908;13.35;-30;0.07;0
0.914;13.35;0;0.07;0
0.924;13.05;-30;0.07;0
0.934;12.75;-30;0.07;0
0.944;12.45;-30;0.07;0
0.954;12;-45;0.07;0
0.964;11.55;-45;0.07;0
0.974;11.1;-45;0.07;0
0.984;10.5;-60;0.07;0
0.993;10.05;-45;0.07;0
1.004;9.3;-75;0.07;0
1.014;8.7;-60;0.07;0
1.024;8.1;-60;0.07;0
1.034;7.35;-75;0.07;0
1.044;6.45;-90;0.07;0
1.054;5.7;-75;0.07;0
1.064;4.95;-75;0.07;0
1.074;4.05;-90;0.07;0
1.083;3.3;-75;0.07;0
1.094;2.4;-90;0.07;0
1.104;1.5;-90;0.07;0
1.114;0.6;-90;0.07;0
1.124;-0.3;-90;0.07;0
1.134;-1.2;-90;0.07;0
1.144;-1.95;-75;0.07;0
1.153;-2.85;-90;0.07;0
1.164;-3.75;-90;0.07;0
1.174;-4.5;-75;0.07;0
1.184;-5.4;-90;0.07;0
1.194;-6.15;-75;0.07;0
1.204;-7.05;-90;0.07;0
1.214;-7.8;-75;0.07;0
1.224;-8.4;-60;0.07;0
1.234;-9.15;-75;0.07;0
1.244;-9.75;-60;0.07;0
1.254;-10.35;-60;0.07;0
