0.048;0;0;0;0
0.058;0;0;-3;-300
0.068;-1;-100;-11;-800
0.078;-3;-200;-24;-1300
0.088;-5;-200;-42;-1800
0.098;-7;-200;-63;-2100
0.108;-10;-300;-87;-2400
0.118;-13;-300;-115;-2800
0.127;-16;-300;-142;-2700
0.138;-20;-400;-179;-3700
0.148;-23;-300;-213;-3400
0.158;-27;-400;-250;-3700
0.167;-30;-300;-285;-3500
0.178;-34;-400;-329;-4400
0.188;-38;-400;-371;-4200
0.198;-42;-400;-413;-4200
0.208;-46;-400;-456;-4300
0.217;-49;-300;-497;-4100
0.228;-53;-400;-547;-5000
0.238;-57;-400;-592;-4500
0.248;-60;-300;-639;-4700
0.258;-63;-300;-686;-4700
0.268;-66;-300;-734;-4800
0.278;-68;-200;-781;-4700
0.288;-71;-300;-830;-4900
0.298;-73;-200;-879;-4900
0.308;-75;-200;-927;-4800
0.318;-76;-100;-976;-4900
0.328;-77;-100;-1026;-5000
0.338;-78;-100;-1075;-4900
0.348;-78;0;-1122;-4700
0.358;-78;0;-1160;-3800
0.368;-75;300;-1194;-3400
0.378;-73;200;-1222;-2800
0.388;-69;400;-1248;-2600
0.398;-65;400;-1269;-2100
0.408;-60;500;-1288;-1900
0.418;-55;500;-1306;-1800
0.428;-49;600;-1322;-1600
0.438;-43;600;-1335;-1300
0.448;-37;600;-1348;-1300
0.457;-31;600;-1358;-1000
0.468;-24;700;-1370;-1200
0.478;-17;700;-1379;-900
0.488;-10;700;-1388;-900
0.497;-3;700;-1394;-600
0.508;5;800;-1400;-600
0.518;13;800;-1405;-500
0.528;20;700;-1410;-500
0.538;28;800;-1414;-400
0.548;35;700;-1417;-300
0.558;43;800;-1419;-200
0.568;50;700;-1421;-200
0.578;57;700;-1422;-100
0.588;64;700;-1422;0
0.598;71;700;-1422;0
0.608;77;600;-1422;0
0.618;83;600;-1422;0
0.628;89;600;-1422;0
0.638;95;600;-1422;0
0.648;99;400;-1422;0
0.658;104;500;-1422;0
0.668;108;400;-1422;0
0.678;112;400;-1422;0
0.688;115;300;-1422;0
0.698;117;200;-1422;0
0.708;120;300;-1422;0
0.717;121;100;-1422;0
0.728;122;100;-1422;0
0.74;123;100;-1422;0
0.748;123;0;-1422;0
0.76;123;0;-1422;0
0.768;122;-100;-1422;0
0.778;120;-200;-1422;0
0.788;118;-200;-1422;0
0.798;116;-200;-1422;0
0.808;113;-300;-1422;0
0.818;110;-300;-1422;0
0.828;106;-400;-1422;0
0.838;102;-400;-1422;0
0.847;97;-500;-1422;0
0.858;92;-500;-1422;0
0.868;86;-600;-1422;0
0.878;81;-500;-1422;0
0.888;74;-700;-1422;0
0.898;68;-600;-1422;0
0.907;62;-600;-1422;0
0.918;54;-800;-1422;0
0.928;47;-700;-1422;0
0.938;39;-800;-1422;0
0.948;32;-700;-1422;0
0.958;24;-800;-1422;0
0.968;16;-800;-1422;0
0.978;8;-800;-1422;0
0.988;1;-700;-1422;0
0.998;-7;-800;-1422;0
1.008;-15;-800;-1422;0
1.018;-23;-800;-1422;0
1.028;-31;-800;-1422;0
1.038;-38;-700;-1422;0
1.048;-46;-800;-1422;0
1.058;-53;-700;-1422;0
1.068;-60;-700;-1422;0
1.078;-67;-700;-1422;0
1.088;-73;-600;-1422;0
1.098;-79;-600;-1422;0
1.108;-85;-600;-1422;0
1.118;-91;-600;-1422;0
1.128;-96;-500;-1422;0
1.138;-100;-400;-1422;0
1.148;-105;-500;-1422;0
1.158;-108;-300;-1422;0
1.168;-112;-400;-1422;0
1.178;-114;-200;-1422;0
1.188;-117;-300;-1422;0
1.198;-119;-200;-1422;0
1.21;-120;-100;-1422;0
1.218;-121;-100;-1422;0
1.23;-121;0;-1422;0
1.238;-121;0;-1422;0
1.248;-121;0;-1422;0
1.258;-119;200;-1422;0
1.268;-118;100;-1422;0
1.278;-116;200;-1422;0
1.288;-113;300;-1422;0
1.298;-110;300;-1422;0
1.308;-106;400;-1422;0
1.318;-102;400;-1422;0
1.328;-98;400;-1422;0
